missing_type,missing_level,best_roc_auc,gen_lr,disc_lr,dropout,l2_reg,n_critic,batch_size,alpha,beta,gen_Layers,disc_layers
raw,2,-0.8328581447483481,0.1,1e-05,0.1,0.001,4,256,70,10,5,1,4
raw,2,0.7717267389161435,0.0001,0.001,0.3,1e-05,3.0,128.0,20.0,10.0,20.0,4.0,1.0
raw,2,0.7717267389161435,0.0001,0.001,0.3,1e-05,3.0,128.0,20.0,10.0,20.0,4.0,1.0
raw,2,0.7717267389161435,0.0001,0.001,0.3,1e-05,3.0,128.0,20.0,10.0,20.0,4.0,1.0
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,5,-0.8425605432761577,0.1,0.0001,0.1,0.0001,4,32,40,10,10,2,2
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,5,-0.8425605432761577,0.1,0.0001,0.1,0.0001,4.0,32.0,40.0,10.0,10.0,2.0,2.0
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,5,-0.8425605432761577,0.1,0.0001,0.1,0.0001,4.0,32.0,40.0,10.0,10.0,2.0,2.0
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,5,-0.8425605432761577,0.1,0.0001,0.1,0.0001,4.0,32.0,40.0,10.0,10.0,2.0,2.0
raw,10,-0.8411343328340013,0.5,0.001,0.05,1e-05,3,128,100,10,10,4,1
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,5,-0.8425605432761577,0.1,0.0001,0.1,0.0001,4.0,32.0,40.0,10.0,10.0,2.0,2.0
raw,10,-0.8411343328340013,0.5,0.001,0.05,1e-05,3.0,128.0,100.0,10.0,10.0,4.0,1.0
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,5,-0.8425605432761577,0.1,0.0001,0.1,0.0001,4.0,32.0,40.0,10.0,10.0,2.0,2.0
raw,10,-0.8411343328340013,0.5,0.001,0.05,1e-05,3.0,128.0,100.0,10.0,10.0,4.0,1.0
raw,2,-0.8454809770470092,0.2,0.01,0.05,0.001,2.0,32.0,90.0,10.0,20.0,4.0,5.0
raw,5,-0.8425605432761577,0.1,0.0001,0.1,0.0001,4.0,32.0,40.0,10.0,10.0,2.0,2.0
raw,10,-0.8411343328340013,0.5,0.001,0.05,1e-05,3.0,128.0,100.0,10.0,10.0,4.0,1.0
