missing_type,missing_level,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum),average_norm_mae
mcar,0.2,1.037530824,0.571123003,0.638407577,0.726235092,0.505761156,0.443414591,0.627255079,0.961467397,0.732173032,1.351978359,0.601441738,0.681093009,0.584571193,0.727880927
mcar,0.5,0.957846416,0.613249659,0.627794494,0.713433562,0.508067931,0.462682692,0.679967981,0.845083198,0.727647859,1.08482683,0.606789694,0.685845871,0.581855091,0.699622406
mcar,0.7,1.067214606,0.603397238,0.727006887,0.691244713,0.506186202,0.453742625,0.650463502,0.817546647,0.735018616,1.183417269,0.600806155,0.722547634,0.581178492,0.718443891
mnar_central,0.2,1.074689177,0.60540066,0.643914543,0.666304772,0.523547556,0.474157236,0.611849828,0.848968634,0.668412179,0.986365003,0.597863541,0.736875292,0.61830065,0.696665313
mnar_central,0.5,1.424208252,0.619137815,0.697627545,0.74182246,0.511931603,0.516565363,0.62545841,0.784663214,0.783483637,1.67196054,0.601060763,0.722996767,0.578902166,0.790755272
mnar_central,0.7,2.553177064,0.636627055,0.771776041,0.776869267,0.512484452,0.620414162,0.611019525,0.788331579,0.788273939,2.867541467,0.617346897,0.773498381,0.59758129,0.993457009
mnar_lower,0.2,2.083554999,1.819116527,1.494517544,1.907425907,1.152664149,0.476388889,1.640437067,1.686825054,1.654421961,1.956989271,1.648154149,1.385901018,1.80530303,1.593207659
mnar_lower,0.5,1.00843557,0.703771203,0.711936607,0.726591465,0.53897935,0.451276443,0.609765071,0.828109769,0.812638398,0.827179797,0.563743296,0.692015925,0.706364322,0.70621594
mnar_lower,0.7,0.928532154,0.621928946,0.585594271,0.677732185,0.491756622,0.453409599,0.683408277,0.856921998,0.862692673,1.118512067,0.564608267,0.617342756,0.688310086,0.703903839
mnar_upper,0.2,1.014269452,0.598654099,0.693162692,0.69813267,0.494582347,0.472610539,0.772903871,0.670902764,0.71784276,1.022322674,0.604007558,0.660304207,0.701397747,0.701622568
mnar_upper,0.5,1.053623222,0.575961752,0.66480194,0.684926895,0.47830256,0.426981681,0.624806558,0.660609151,0.822718105,1.015507523,0.604521274,0.689108266,0.709193715,0.693158665
mnar_upper,0.7,0.993202457,0.580568841,0.697847562,0.672710107,0.507011337,0.53589657,0.706106206,0.821004633,0.69207524,1.044484176,0.589720832,0.721780743,0.583964727,0.703567187
