imputation_type,hyperparameter,mean arterial pressure,heart rate,respiratory rate,PCO2 (Arterial),PO2 (Arterial),FiO2,arterial pH,sodium,potassium,creatinine,hematocrit,white blood cell,HCO3 (serum)
mean,0,101.76008163761715,41.29163986569457,16.223486481224107,24.129503408342213,129.56070792527723,22.683239737158534,0.10457732398097287,9.285498570769949,1.5229738513384838,2.5052073421992462,3.481142933221858,17.453510705505042,7.0964170771756985
knn,3,101.409428359317,38.04977945809704,15.512820512820513,22.715794306703398,112.10752688172045,19.72248803827751,0.09567676767676765,9.569386814200092,1.4361893583724568,2.3780081925243217,3.3678891605541974,17.283068017366137,6.945402298850575
knn,5,101.24476614699333,37.60945179584121,15.339829059829059,22.58209366391185,108.96221198156684,19.919617224880383,0.09381212121212125,9.449515905947443,1.439107981220657,2.382442396313364,3.3413202933985326,17.163357452966718,6.897126436781608
knn,10,101.07204899777284,37.60434782608695,15.391623931623933,22.62203856749311,103.11290322580645,19.1866028708134,0.0919666666666667,9.3179806362379,1.4340140845070426,2.389062980030722,3.341229828850856,17.063027496382055,6.771264367816091
knn,15,101.14654788418709,37.817769376181474,15.382336182336184,22.66372819100092,102.64362519201228,19.089314194577348,0.0913272727272727,9.285477178423236,1.4366353677621284,2.3971274961597544,3.3372828035859823,17.029852387843707,6.69022988505747
knn,20,101.10707126948775,37.94158790170132,15.421965811965812,22.607920110192836,100.65023041474656,19.313157894736843,0.09115151515151515,9.259197786998618,1.4428462441314551,2.40281490015361,3.3294132029339853,17.02282344428365,6.730459770114942
mice,20,101.19427425389985,37.387599787892405,15.247594980922464,21.235777579965156,98.06792173822775,20.458461727935816,0.08255615389201897,9.229669641386119,1.4007385121984703,2.3758787364564258,3.2482471901604155,16.785366930453463,6.1135518677338005
mice,50,101.19427425389985,37.387599787892405,15.247594980922464,21.235777579965156,98.06792173822775,20.458461727935816,0.08255615389201897,9.229669641386119,1.4007385121984703,2.3758787364564258,3.2482471901604155,16.785366930453463,6.1135518677338005
mice,100,101.19427425389985,37.387599787892405,15.247594980922464,21.235777579965156,98.06792173822775,20.458461727935816,0.08255615389201897,9.229669641386119,1.4007385121984703,2.3758787364564258,3.2482471901604155,16.785366930453463,6.1135518677338005
mice,200,101.19427425389985,37.387599787892405,15.247594980922464,21.235777579965156,98.06792173822775,20.458461727935816,0.08255615389201897,9.229669641386119,1.4007385121984703,2.3758787364564258,3.2482471901604155,16.785366930453463,6.1135518677338005
